: syn-opposite
logisch,unlogisch
akzeptabel,unakzeptabel
sicher,unsicher
bewusst,unbewusst
bekannt,unbekannt
komfortabel,unkomfortabel
bequem,unbequem
konsistent,inkosistent
wahrscheinlich,unwahrscheinlich
überzeugend,unüberzeugend
entschlossen,unentschlossen
effizient,ineffizient
ethisch,unethisch
ehrlich,unehrlich
glücklich,unglücklich
klar,unklar
genau,ungenau
beeindruckend,unbeeindruckend
informiert,uninformiert
wahrscheinlich,unwahrscheinlich
angenehm,unangenehm
möglich,unmöhlich
produktiv,unproduktiv
rational,irrational
verantwortlich,unverantwortlich
lustvoll,lustlos
geschmackvoll,geschmacklos
adäquat,inadäquat
motiviert,unmotiviert
interessant,uninteressant
