: opposite
Frage,Antwort
Junge,Mädchen
Leben,Tod
Mann,Frau
Norden,Süden
Osten,Westen
Sommer,Winter
Start,Ende
Tag,Nacht
alt,jung
bekannt,unbekannt
früh,spät
groß,klein
hell,dunkel
hoch,tief
lang,kurz
leicht,schwer
männlich,weiblich
oben,unten
positiv,negativ
rechts,links
schnell,langsam
stark,schwach
viel,wenig
gewinnen,verlieren
lachen,weinen
arm,reich
beliebt,unbeliebt
betrunken,nüchtern
dick,dünn
dumm,schlau
mutig,feige
weich,hart
fröhlich,traurig
Frühling,Herbst
fragen,antworten
Freund,Feind
frei,gefangen
geschlossen,offen
gesund,krank
Gewinner,Verlierer
grüßen,verabschieden
gut,schlecht
hübsch,hässlich
rau,glatt
heiß,kalt
Heirat,Scheidung
horizontal,vertikal
satt,hungrig
Wahrheit,Lüge
leise,laut
Liebe,Hass
Maximum,Minimum
neu,alt
optimistisch,pessimistisch
Glück,Pech
richtig,falsch
sauber,schmutzig
spitz,stumpf
schreien,flüstern
schwarz,weiß
sportlich,unsportlich
sprechen,schweigen
Belohnung,Strafe
gleich,unterschiedlich
Vergangenheit,Zukunft
logisch,unlogisch
Mehrheit,Minderheit
oft,selten
Käufer,Verkäufer
Kapitalismus,Kommunismus
West-Berlin,Ost-Berlin
