: opposite
Frage,Antwort
Junge,Mädchen
Leben,Tod
Mann,Frau
Norden,Süden
Osten,Westen
Sommer,Winter
Start,Ziel
Tag,Nacht
alt,jung
bekannt,unbekannt
davor,danach
früh,spät
groß,klein
hell,dunkel
hoch,tief
lang,kurz
leicht,schwer
männlich,weiblich
nah,fern
oben,unten
positiv,negativ
rechts,links
schnell,langsam
stark,schwach
viel,wenig
voll,leer
warm,kalt
gewinnen,verlieren
lachen,weinen
angstlich,mutig
arm,reich
böse,gut
beliebt,unbeliebt
berühmt,unbekannt
betrunken,nüchtern
billig,teuer
dick,dünn
dumm,schlau
erwachsen,kind
Essen,Trinken
farbenfroh,trist
feige,mutig
hart,weich
fleissig,faul
fröhlich,traurig
Frühling,Herbst
trocken,nass
fragen,antworten
freude,trauer
Freund,Feind
freundlich,unfreundlich
frieren,schwitzen
gefangen,frei
gerade,krumm
geschlossen,offen
gesund,krank
Gewinner,Verlierer
grüßen,verabschieden
gut,schlecht
hübsch,hässlich
rau,glatt
heiß,kalt
Heirat,Scheidung
Himmel,Erde
horizontal,vertikal
hungrig,satt
Lüge,Wahrheit
laut,leise
Liebe,Hass
Maximum,Minimum
modern,alt
Mut,Angst
neu,alt
optimistisch,pessimistisch
Pech,Glück
produktiv,kontraproduktiv
richtig,falsch
sauber,schmutzig
scharf,stumpf
Schlafen,Wachen
Schreien,Flüstern
schwarz,weiß
Sonne,Mond
Spaß,Langeweile
sportlich,unsportlich
sprechen,schweigen
Strafe,Belohnung
suchen,finden
Teufel,Engel
tief,flach
transparent,undurchsichtig
unterschiedlich,gleich
Vergangenheit,Zukunft
Wissen,Unwissen
